"Project ID","Sample ID","Original Metadata","Expression Matrix","Update Data"
"UCEC-024","UCEC-024-04-1A","https://zenodo.org/record/3937811","UCEC-024-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"UCEC-024","UCEC-024-05-1A","https://zenodo.org/record/3937811","UCEC-024-05-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"UCEC-024","UCEC-024-06-1A","https://zenodo.org/record/3937811","UCEC-024-06-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"HCC-025","HCC-025-01-1A","HCC-025-01-1A.SraRunInfo.xlsx","HCC-025-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"HCC-025","HCC-025-02-1A","HCC-025-02-1A.SraRunInfo.xlsx","HCC-025-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"ATC-026","ATC-026-01-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476491","ATC-026-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"ATC-026","ATC-026-02-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476492","ATC-026-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"ATC-026","ATC-026-03-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476493","ATC-026-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"ATC-026","ATC-026-04-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476494","ATC-026-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"ATC-026","ATC-026-05-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476495","ATC-026-05-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-01-1A","PDAC-027-01-1A.xlsx","PDAC-027-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-02-1A","PDAC-027-02-1A.xlsx","PDAC-027-02-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-03-1A","PDAC-027-03-1A.xlsx","PDAC-027-03-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-04-1A","PDAC-027-04-1A.xlsx","PDAC-027-04-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-05-1A","PDAC-027-05-1A.xlsx","PDAC-027-05-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-06-1A","PDAC-027-06-1A.xlsx","PDAC-027-06-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-07-1A","PDAC-027-07-1A.xlsx","PDAC-027-07-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-08-1A","PDAC-027-08-1A.xlsx","PDAC-027-08-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-09-1A","PDAC-027-09-1A.xlsx","PDAC-027-09-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-10-1A","PDAC-027-10-1A.xlsx","PDAC-027-10-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-11-1A","PDAC-027-11-1A.xlsx","PDAC-027-11-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-12-1A","PDAC-027-12-1A.xlsx","PDAC-027-12-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-13-1A","PDAC-027-13-1A.xlsx","PDAC-027-13-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-14-1A","PDAC-027-14-1A.xlsx","PDAC-027-14-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-15-1A","PDAC-027-15-1A.xlsx","PDAC-027-15-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-16-1A","PDAC-027-16-1A.xlsx","PDAC-027-16-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-17-1A","PDAC-027-17-1A.xlsx","PDAC-027-17-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-18-1A","PDAC-027-18-1A.xlsx","PDAC-027-18-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-19-1A","PDAC-027-19-1A.xlsx","PDAC-027-19-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-20-1A","PDAC-027-20-1A.xlsx","PDAC-027-20-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-21-1A","PDAC-027-21-1A.xlsx","PDAC-027-21-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-22-1A","PDAC-027-22-1A.xlsx","PDAC-027-22-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-23-1A","PDAC-027-23-1A.xlsx","PDAC-027-23-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"PDAC-027","PDAC-027-24-1A","PDAC-027-24-1A.xlsx","PDAC-027-24-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"DCIS-028","DCIS-028-01-1A","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4476485","DCIS-028-01-1A.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-01-1E","AML-029-01-1E.SraRunInfo.xlsx","AML-029-01-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-02-1E","AML-029-02-1E.SraRunInfo.xlsx","AML-029-02-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-03-1E","AML-029-03-1E.SraRunInfo.xlsx","AML-029-03-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-04-1E","AML-029-04-1E.SraRunInfo.xlsx","AML-029-04-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-05-1E","AML-029-05-1E.SraRunInfo.xlsx","AML-029-05-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-06-1E","AML-029-06-1E.SraRunInfo.xlsx","AML-029-06-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-07-1E","AML-029-07-1E.SraRunInfo.xlsx","AML-029-07-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-08-1E","AML-029-08-1E.SraRunInfo.xlsx","AML-029-08-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-09-1E","AML-029-09-1E.SraRunInfo.xlsx","AML-029-09-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-10-1E","AML-029-10-1E.SraRunInfo.xlsx","AML-029-10-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-11-1E","AML-029-11-1E.SraRunInfo.xlsx","AML-029-11-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-12-1E","AML-029-12-1E.SraRunInfo.xlsx","AML-029-12-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-13-1E","AML-029-13-1E.SraRunInfo.xlsx","AML-029-13-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-14-1E","AML-029-14-1E.SraRunInfo.xlsx","AML-029-14-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-15-1E","AML-029-15-1E.SraRunInfo.xlsx","AML-029-15-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-16-1E","AML-029-16-1E.SraRunInfo.xlsx","AML-029-16-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-17-1E","AML-029-17-1E.SraRunInfo.xlsx","AML-029-17-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-18-1E","AML-029-18-1E.SraRunInfo.xlsx","AML-029-18-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-19-1E","AML-029-19-1E.SraRunInfo.xlsx","AML-029-19-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-20-1E","AML-029-20-1E.SraRunInfo.xlsx","AML-029-20-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-21-1E","AML-029-21-1E.SraRunInfo.xlsx","AML-029-21-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-22-1E","AML-029-22-1E.SraRunInfo.xlsx","AML-029-22-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-23-1E","AML-029-23-1E.SraRunInfo.xlsx","AML-029-23-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-24-1E","AML-029-24-1E.SraRunInfo.xlsx","AML-029-24-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-25-1E","AML-029-25-1E.SraRunInfo.xlsx","AML-029-25-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-26-1E","AML-029-26-1E.SraRunInfo.xlsx","AML-029-26-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-27-1E","AML-029-27-1E.SraRunInfo.xlsx","AML-029-27-1E.gene.expression.matrix.tsv.zip","2021/5/23"
"AML-029","AML-029-28-1E","AML-029-28-1E.SraRunInfo.xlsx","AML-029-28-1E.gene.expression.matrix.tsv.zip","2021/5/23"
